категория;Поисковые слова;Категория поисковых слов;Наименование поставщика социальных услуг;Адрес места нахождения поставщика социальных услуг;Описание;Контактная информация поставщика социальных услуг (телефоны, адрес электронной почты...);Сайт;Иконка;pos;Пресет;Район
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Предоставление временного проживания, организация питания, медицинского наблюдения, психологическая помощь, подготовка к жизни в семье, содействие в получении образования и профессии;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Пушкинского района «Аист»;196601, г Санкт-Петербург, г. Пушкин, ул. Московская, д. 12,  Литер А;* Пример описания;476-62-02;http://centr-aist.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.403184 59.721692;islands#blueIcon;Некоммерческие организации
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Предоставление временного проживания, организация питания, медицинского наблюдения, психологическая помощь, подготовка к жизни в семье, содействие в получении образования и профессии;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Колпинского района Санкт-Петербурга»;196653, г Санкт-Петербург, г. Колпино, ул. Карла Маркса, д. 7;* Пример описания;241-21-95;http://cspsd.kolp.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.588192 59.750458;islands#blueIcon;Некоммерческие организации
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Социально-реабилитационный центр для несовершеннолетних «Воспитательный дом»;198261, г Санкт-Петербург, ул. Стойкости, д. 32, корп. 1,  Литер А;* Пример описания;750-02-11;http://vospdom.ru;<i class="fas fa-hand-holding-medical"></i>;30.195647 59.827302;islands#blueIcon;Кировский район
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной помощи семье и детям Приморского района Санкт-Петербурга»;197374, г Санкт-Петербург, ул. Беговая, д. 7, корп. 2,  Литер А;* Пример описания;491-92-82;http://cs-pr.ru;<i class="fas fa-hand-holding-medical"></i>;30.208016 59.989427;islands#blueIcon;территория Северо-Приморская часть
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Петроградского района Санкт-Петербурга»;197136, г Санкт-Петербург, ул. Гатчинская, д. 35,  Литер А;* Пример описания;573-98-25, 573-98-35;http://cpsid.ru;<i class="fas fa-hand-holding-medical"></i>;30.295988 59.963638;islands#blueIcon;Петроградский район
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной помощи семье и детям Московского района»;196105, г Санкт-Петербург, ул. Севастьянова, д. 1,  Литер А;* Пример описания;409-88-50;http://cspsd-mr.ru;<i class="fas fa-hand-holding-medical"></i>;30.328561 59.878744;islands#blueIcon;Московский район
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Центрального района Санкт-Петербурга»;191036, г Санкт-Петербург, ул. Жуковского, д. 59-61,  Литер А;* Пример описания;717-82-53;http://cspsd-cr-spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.362248 59.935642;islands#blueIcon;Центральный район
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Василеостровского района»;199178, г Санкт-Петербург, линия. 14-я В.О., д. 25-27,  Литер А;* Пример описания;321-34-55;http://center-vo.voadm.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.269515 59.938356;islands#blueIcon;Василеостровский район
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной помощи семье и детям Выборгского района»;194156, г Санкт-Петербург, пр-кт. 2-й Муринский, д. 19,  Литер Е;* Пример описания;294-05-17;http://csvr.ru;<i class="fas fa-hand-holding-medical"></i>;30.33953 60.001419;islands#blueIcon;территория Лесной
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Невского района Санкт-Петербурга»;192174, г Санкт-Петербург, ул. Шелгунова, д. 17,  Литер Д;* Пример описания;409-80-02;https://sochelp.spb.ru/;<i class="fas fa-hand-holding-medical"></i>;30.450023 59.866472;islands#blueIcon;Невский район
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Калининского района Санкт-Петербурга»;195265, г Санкт-Петербург, ул. Лужская, д. 10, корп. 1,  Литер А;* Пример описания;242-36-96;http://cspsid-kalin.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.427834 60.024846;islands#blueIcon;Калининский район
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной помощи семье и детям Красногвардейского района»;195176, г Санкт-Петербург, ул. Большая Пороховская, д. 22;* Пример описания;227-46-60;http://centrpomoshi.ru;<i class="fas fa-hand-holding-medical"></i>;30.418734 59.954002;islands#blueIcon;территория Большая Охта
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Петродворцового района Санкт-Петербурга»;198412, г Санкт-Петербург, г. Ломоносов, пр-кт. Дворцовый, д. 47,  Литер А;* Пример описания;576-17-87;http://dobro.org.ru;<i class="fas fa-hand-holding-medical"></i>;29.772675 59.915454;islands#blueIcon;Некоммерческие организации
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Адмиралтейского района Санкт-Петербурга»;196084, г Санкт-Петербург, пр-кт. Московский, д. 79,  Литер А;* Пример описания;246-04-72;http://cspsd.admiral.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.317243 59.899153;islands#blueIcon;Адмиралтейский район
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Пушкинского района «Аист»;196601, г Санкт-Петербург, г. Пушкин, ул. Московская, д. 12,  Литер А;* Пример описания;476-62-02;http://centr-aist.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.403184 59.721692;islands#blueIcon;Некоммерческие организации
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Колпинского района Санкт-Петербурга»;196653, г Санкт-Петербург, г. Колпино, ул. Карла Маркса, д. 7;* Пример описания;241-21-95;http://cspsd.kolp.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.588192 59.750458;islands#blueIcon;Некоммерческие организации
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной помощи семье и детям Кировского района Санкт-Петербурга»;198097, г Санкт-Петербург, ул. Трефолева, д. 22/25;* Пример описания;747-35-58;http://cspsd-spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.270036 59.8906;islands#blueIcon;Кировский район
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Кронштадтского района Санкт-Петербурга»;197762, г Санкт-Петербург, г. Кронштадт, ул. Аммермана, д. 13,  Литер А;* Пример описания;417-67-70;http://kron-cspsd.ru;<i class="fas fa-hand-holding-medical"></i>;29.787874 59.991142;islands#blueIcon;Некоммерческие организации
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Фрунзенского района Санкт-Петербурга»;192007, г Санкт-Петербург, ул. Расстанная, д. 20,  Литер А;* Пример описания;246-17-69;http://cs-fr.ru;<i class="fas fa-hand-holding-medical"></i>;30.352322 59.906634;islands#blueIcon;Фрунзенский район
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Красносельского района»;198332, г Санкт-Петербург, пр-кт. Маршала Жукова, д. 37, корп. 3,  Литер А;* Пример описания;242-38-20;http://kcson.ucoz.org;<i class="fas fa-hand-holding-medical"></i>;30.220638 59.854847;islands#blueIcon;Красносельский район
Лица из числа детей-сирот и детей, оставшихся без попечения родителей, в возрасте от 18 до 23 лет;Психологическая помощь, организация досуга, содействие в получении образования и профессии, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Курортного района»;197706, г Санкт-Петербург, г. Сестрорецк, ул. Токарева, д. 15;* Пример описания;434-10-11;http://kcson-kurort.ru;<i class="fas fa-hand-holding-medical"></i>;29.95665 60.090872;islands#blueIcon;Некоммерческие организации
Семьи, находящихся в трудной жизненной ситуации;Психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь с предоставлением временного проживания;Общие;Частное учреждение социального обслуживания «Детская деревня - SOS Пушкин»;196620, г Санкт-Петербург, г. Пушкин, ул. Железнодорожная (Гуммолосары), д. 34, корп. 1;* Пример описания;465-51-29;http://sos-dd.ru;<i class="fas fa-hand-holding-medical"></i>;30.416722 59.686616;islands#blueIcon;Пушкинский район
Семьи, находящихся в трудной жизненной ситуации;Психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь с предоставлением временного проживания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной помощи семье и детям Приморского района Санкт-Петербурга»;197374, г Санкт-Петербург, ул. Беговая, д. 7, корп. 2,  Литер А;* Пример описания;491-92-82;http://cs-pr.ru;<i class="fas fa-hand-holding-medical"></i>;30.208016 59.989427;islands#blueIcon;территория Северо-Приморская часть
Семьи, находящихся в трудной жизненной ситуации;Психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь с предоставлением временного проживания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Петроградского района Санкт-Петербурга»;197136, г Санкт-Петербург, ул. Гатчинская, д. 35,  Литер А;* Пример описания;573-98-25, 573-98-35;http://cpsid.ru;<i class="fas fa-hand-holding-medical"></i>;30.295988 59.963638;islands#blueIcon;Петроградский район
Семьи, находящихся в трудной жизненной ситуации;Психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь с предоставлением временного проживания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Фрунзенского района Санкт-Петербурга»;192007, г Санкт-Петербург, ул. Расстанная, д. 20,  Литер А;* Пример описания;246-17-69;http://cs-fr.ru;<i class="fas fa-hand-holding-medical"></i>;30.352322 59.906634;islands#blueIcon;Фрунзенский район
Семьи, находящихся в трудной жизненной ситуации;Психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь с предоставлением временного проживания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Калининского района Санкт-Петербурга»;195265, г Санкт-Петербург, ул. Лужская, д. 10, корп. 1,  Литер А;* Пример описания;242-36-96;http://cspsid-kalin.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.427834 60.024846;islands#blueIcon;Калининский район
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Частное социально-реабилитационное учреждение «Детский приют «Жизнь»;193318, г Санкт-Петербург, ул. Коллонтай, д. 6, корп. 2;* Пример описания;699-18-09;http://priut-zhizn.spb.socinfo.ru;<i class="fas fa-hand-holding-medical"></i>;30.44704 59.915585;islands#blueIcon;Невский район
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Благотворительный фонд «Центр святителя Василия Великого»;199034, г Санкт-Петербург, линия. 16-я В.О., д. 1/33;* Пример описания;328-53-27;http://svtvasilij.ru;<i class="fas fa-hand-holding-medical"></i>;30.274007 59.932847;islands#blueIcon;Василеостровский район
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Автономная некоммерческая организация «Центр развития инновационных социальных услуг «Партнерство каждому ребенку»;197183, г Санкт-Петербург, пр-кт. Приморский, д. 33,  Литер А;* Пример описания;431-04-60;http://p4ec.ru;<i class="fas fa-hand-holding-medical"></i>;30.284948 59.983914;islands#blueIcon;территория Новая Деревня
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Кризисный центр помощи женщинам»;196066, г Санкт-Петербург, пр-кт. Московский, д. 206, корп. 1;* Пример описания;373-47-69;http://pomogaemmamam.ru;<i class="fas fa-hand-holding-medical"></i>;30.322893 59.856546;islands#blueIcon;Московский район
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Социально-реабилитационный центр для несовершеннолетних «Прометей»;196210, г Санкт-Петербург, ул. Пилотов, д. 32,  Литер А;* Пример описания;612-13-19;http://prometey-spb.org;<i class="fas fa-hand-holding-medical"></i>;30.293069 59.815934;islands#blueIcon;территория Авиагородок
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Социально-реабилитационный центр для несовершеннолетних «Альмус»;192174, г Санкт-Петербург, ул. Шелгунова, д. 25,  Литер А;* Пример описания;417-57-50;http://almus-spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.44792 59.866066;islands#blueIcon;Невский район
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Социально-реабилитационный центр для несовершеннолетних «Воспитательный дом»;198261, г Санкт-Петербург, ул. Стойкости, д. 32, корп. 1,  Литер А;* Пример описания;750-02-11;http://vospdom.ru;<i class="fas fa-hand-holding-medical"></i>;30.195647 59.827302;islands#blueIcon;Кировский район
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Социально-реабилитационный центр для несовершеннолетних «Дом милосердия»;199178, г Санкт-Петербург, линия. 14-я В.О., д. 25-27,  Литер А;* Пример описания;246-09-91, 246-09-92, 246-09-93;http://domnus.org;<i class="fas fa-hand-holding-medical"></i>;30.269515 59.938356;islands#blueIcon;Василеостровский район
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Кронштадтского района Санкт-Петербурга»;197762, г Санкт-Петербург, г. Кронштадт, ул. Аммермана, д. 13,  Литер А;* Пример описания;417-67-70;http://kron-cspsd.ru;<i class="fas fa-hand-holding-medical"></i>;29.787874 59.991142;islands#blueIcon;Некоммерческие организации
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной помощи семье и детям Приморского района Санкт-Петербурга»;197374, г Санкт-Петербург, ул. Беговая, д. 7, корп. 2,  Литер А;* Пример описания;491-92-82;http://cs-pr.ru;<i class="fas fa-hand-holding-medical"></i>;30.208016 59.989427;islands#blueIcon;территория Северо-Приморская часть
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Петроградского района Санкт-Петербурга»;197136, г Санкт-Петербург, ул. Гатчинская, д. 35,  Литер А;* Пример описания;573-98-25, 573-98-35;http://cpsid.ru;<i class="fas fa-hand-holding-medical"></i>;30.295988 59.963638;islands#blueIcon;Петроградский район
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной помощи семье и детям Московского района»;196105, г Санкт-Петербург, ул. Севастьянова, д. 1,  Литер А;* Пример описания;409-88-50;http://cspsd-mr.ru;<i class="fas fa-hand-holding-medical"></i>;30.328561 59.878744;islands#blueIcon;Московский район
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Центрального района Санкт-Петербурга»;191036, г Санкт-Петербург, ул. Жуковского, д. 59-61,  Литер А;* Пример описания;717-82-53;http://cspsd-cr-spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.362248 59.935642;islands#blueIcon;Центральный район
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Василеостровского района»;199178, г Санкт-Петербург, линия. 14-я В.О., д. 25-27,  Литер А;* Пример описания;321-34-55;http://center-vo.voadm.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.269515 59.938356;islands#blueIcon;Василеостровский район
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Фрунзенского района Санкт-Петербурга»;192007, г Санкт-Петербург, ул. Расстанная, д. 20,  Литер А;* Пример описания;246-17-69;http://cs-fr.ru;<i class="fas fa-hand-holding-medical"></i>;30.352322 59.906634;islands#blueIcon;Фрунзенский район
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной помощи семье и детям Выборгского района»;194156, г Санкт-Петербург, пр-кт. 2-й Муринский, д. 19,  Литер Е;* Пример описания;294-05-17;http://csvr.ru;<i class="fas fa-hand-holding-medical"></i>;30.33953 60.001419;islands#blueIcon;территория Лесной
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Невского района Санкт-Петербурга»;192174, г Санкт-Петербург, ул. Шелгунова, д. 17,  Литер Д;* Пример описания;409-80-02;https://sochelp.spb.ru/;<i class="fas fa-hand-holding-medical"></i>;30.450023 59.866472;islands#blueIcon;Невский район
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной помощи семье и детям Калининского района Санкт-Петербурга»;195265, г Санкт-Петербург, ул. Лужская, д. 10, корп. 1,  Литер А;* Пример описания;242-36-96;http://cspsid-kalin.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.427834 60.024846;islands#blueIcon;Калининский район
Семьи, находящихся в трудной жизненной ситуации;Присмотр за детьми, психологическая поддержка (семейное консультирование), обучение родительским навыкам, профессиональная ориентация, юридическая помощь в центрах дневного пребывания;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр социальной помощи семье и детям Красногвардейского района»;195176, г Санкт-Петербург, ул. Большая Пороховская, д. 22;* Пример описания;227-46-60;http://centrpomoshi.ru;<i class="fas fa-hand-holding-medical"></i>;30.418734 59.954002;islands#blueIcon;территория Большая Охта
